         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27855    0.020    0.000    0.020    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/__init__.py:930(__getitem__)
    11859    0.019    0.000    0.030    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pygraphviz/agraph.py:1825(__init__)
      232    0.019    0.000    0.064    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/bezier.py:103(find_bezier_t_intersecting_with_closedpath)
      966    0.019    0.000    2.425    0.003 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/frame.py:2770(query)
   133296    0.019    0.000    0.019    0.000 {built-in method _struct.pack}
     8507    0.019    0.000    0.046    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:3307(shape)
    43601    0.019    0.000    0.070    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:889(<genexpr>)
    22429    0.018    0.000    0.035    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:672(values)
      787    0.018    0.000    0.135    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:3953(_interleave)
     4599    0.018    0.000    0.077    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:510(_shallow_copy)
    10980    0.018    0.000    0.021    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:237(mgr_locs)
     3466    0.018    0.000    0.021    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/algorithms.py:1421(_get_take_nd_function)
   157043    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
    12459    0.018    0.000    0.018    0.000 {built-in method numpy.core.multiarray.dot}
     3284    0.018    0.000    0.078    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/writer/etree_worksheet.py:110(lxml_write_cell)
       28    0.017    0.001    0.017    0.001 {built-in method max}
   127539    0.017    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:869(<genexpr>)
     2887    0.017    0.000    0.340    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:1237(take_nd)
     1525    0.017    0.000    0.934    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/generic.py:2783(_take)
   127539    0.017    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:872(<genexpr>)
     4307    0.017    0.000    0.017    0.000 {built-in method numpy.core.multiarray.arange}
    18659    0.017    0.000    0.017    0.000 {built-in method pandas._libs.lib.is_scalar}
   127539    0.017    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:879(<genexpr>)
6051/2280    0.017    0.000    0.029    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/descriptors/serialisable.py:195(__hash__)
        2    0.017    0.009    0.331    0.166 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/allennlp/modules/elmo.py:447(_load_highway)
